Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
11/1/2022 21:34:26,JSMN,"KQ, LYCH",,50%,50%,LYCHEE,emrys,,TRUE,TRUE
11/1/2022 21:36:33,MTCH,,MILK,,,BOBA,derek,,TRUE,TRUE
11/3/2022 19:03:36,BLK,PCH,,,,,,,TRUE,TRUE
11/3/2022 19:04:49,JSMN,,MILK,0%,50%,BOBA,Audrey,,TRUE,TRUE
11/3/2022 19:05:21,JSMN,,MILK,75%,75%,BOBA,Anne,,TRUE,TRUE
11/3/2022 19:05:58,MTCH,,MILK,,,LYCHEE,Maya,,TRUE,TRUE
11/3/2022 19:07:45,TARO,,Oat,25%,50%,BOBA,Desa 1,,TRUE,TRUE
11/3/2022 19:08:12,JSMN,"MNGO, PSNFRT",,50%,50%,BOBA,Desa 2,,TRUE,TRUE
11/3/2022 19:09:51,BLK,ROSE,MILK,25%,50%,BOBA,Kaylin,,TRUE,TRUE
11/3/2022 19:10:56,JSMN,"MNGO, PSNFRT",,25%,75%,LYCHEE,Bianca,,TRUE,TRUE
11/3/2022 19:11:44,TARO,,MILK,100%,100%,BOBA,Maddie,,TRUE,TRUE
11/3/2022 19:12:12,MTCH,,MILK,,,BOBA,Maddy (diffeeent),,TRUE,TRUE
11/3/2022 19:12:41,BSL,,MILK,,,BOBA,Rom,,TRUE,TRUE
11/3/2022 19:14:23,JSMN,,MILK,50%,50%,BOBA,Bella,,TRUE,TRUE
11/3/2022 19:15:19,OLNG,"HNY, PCH",,0%,50%,BOBA,Jojo,,TRUE,TRUE
11/3/2022 19:15:59,JSMN,,MILK,0%,50%,"BOBA, LYCHEE",Sumitha,,TRUE,TRUE
11/3/2022 19:17:02,JSMN,,MILK,50%,50%,BOBA,Jessica,,TRUE,TRUE
11/3/2022 19:18:13,OLNG,"HNY, PCH",,25%,50%,,Terrence,,TRUE,TRUE
11/3/2022 19:19:17,TARO,,MILK,0%,50%,BOBA,Nadiya,,TRUE,TRUE
11/3/2022 19:26:39,BLK,,MILK,50%,50%,BOBA,Beia,,TRUE,TRUE
11/3/2022 19:27:39,JSMN,"MNGO, PSNFRT",,25%,50%,BOBA,Ellen,,TRUE,TRUE
11/3/2022 19:29:21,JSMN,,MILK,50%,50%,BOBA,Kim,,TRUE,TRUE
11/3/2022 19:30:21,MTCH,,MILK,25%,,BOBA,Lauren,,TRUE,TRUE
11/3/2022 19:35:40,JSMN,"MNGO, PSNFRT",,0%,50%,BOBA,Emily 1,,TRUE,TRUE
11/3/2022 19:35:58,JSMN,"MNGO, PSNFRT",,0%,50%,,Emily 2,,TRUE,TRUE
11/3/2022 19:36:46,OLNG,"HNY, PCH",,50%,50%,BOBA,Sydnety,,TRUE,TRUE
11/3/2022 19:37:38,BLK,"MNGO, PSNFRT",,25%,75%,BOBA,Iram,,TRUE,TRUE
11/3/2022 19:38:42,BSL,,MILK,,,BOBA,Fay 1,,TRUE,TRUE
11/3/2022 19:39:06,MTCH,,Almond,,,BOBA,Fay 2,,TRUE,TRUE
