Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
10/20/2022 21:08:51,JSMN,,MILK,25%,50%,BOBA,Amanda,,TRUE,TRUE
10/20/2022 21:09:42,TARO,,MILK,100%,75%,BOBA,Kristy,,TRUE,TRUE
10/20/2022 21:11:41,,,,,,,"Grace (Soy Milk + Chai, Boba Separate Cup)",,TRUE,TRUE
10/20/2022 21:12:23,BSL,,MILK,,,BOBA,Mia,,TRUE,TRUE
10/20/2022 21:12:59,SPECIAL,,MILK,,50%,BOBA,Gabrielle,,TRUE,TRUE
10/20/2022 21:13:59,BLK,,MILK,75%,75%,BOBA,Chau,,TRUE,TRUE
10/20/2022 21:15:09,JSMN,,MILK,50%,50%,BOBA,Mari,,TRUE,TRUE
10/20/2022 21:15:43,TARO,,Almond,0%,75%,BOBA,Carlos ,,TRUE,TRUE
10/20/2022 21:16:23,JSMN,,MILK,75%,75%,BOBA,Zee,,TRUE,TRUE
10/20/2022 21:17:00,BLK,,MILK,75%,50%,BOBA,Serena,,TRUE,TRUE
10/20/2022 21:17:31,MTCH,,Oat,25%,,BOBA,Amy,,TRUE,TRUE
10/20/2022 21:18:38,TARO,,MILK,25%,75%,,Shirley,,TRUE,TRUE
10/20/2022 21:19:34,JSMN,,MILK,25%,75%,BOBA,Mo,,TRUE,TRUE
10/20/2022 21:20:30,SPECIAL,,MILK,,,BOBA,Jessie,,TRUE,TRUE
10/20/2022 21:21:14,JSMN,,MILK,25%,100%,LYCHEE,Akosua,,TRUE,TRUE
10/20/2022 21:26:14,TARO,,MILK,25%,75%,BOBA,Hudson 1,,TRUE,TRUE
10/20/2022 21:26:32,JSMN,,MILK,50%,100%,BOBA,Hudson 2,,TRUE,TRUE
10/20/2022 21:27:29,SPECIAL,,MILK,,,BOBA,Vincent (extra boba),,TRUE,TRUE
10/20/2022 21:27:49,SPECIAL,,MILK,,,BOBA,Josie,,TRUE,TRUE
10/20/2022 21:28:46,SPECIAL,,MILK,,,BOBA,Linshawn 1,,TRUE,TRUE
10/20/2022 21:29:14,JSMN,,MILK,50%,100%,BOBA,Linshawn 2,,TRUE,TRUE
10/20/2022 21:30:14,BSL,,MILK,,,BOBA,Nicole,,TRUE,TRUE
10/20/2022 21:33:38,SPECIAL,,MILK,,,BOBA,Jacob,,TRUE,TRUE
10/20/2022 21:34:37,SPECIAL,,,100%,75%,BOBA,Jel,,TRUE,TRUE
10/20/2022 21:35:06,MTCH,,Almond,,,BOBA,Rosie,,TRUE,TRUE
10/20/2022 21:36:05,BLK,MNGO,,75%,100%,BOBA,Miles 1,,TRUE,TRUE
10/20/2022 21:36:36,JSMN,PSNFRT,,75%,100%,BOBA,Miles 2,,TRUE,TRUE
10/20/2022 21:38:10,JSMN,,MILK,100%,100%,BOBA,Tara,,TRUE,TRUE
10/20/2022 21:38:41,BLK,ROSE,MILK,25%,100%,BOBA,Lauren,,TRUE,TRUE
10/20/2022 21:39:20,BLK,,MILK,100%,100%,BOBA,Connor,,TRUE,TRUE
10/20/2022 21:39:52,TARO,,MILK,25%,25%,BOBA,Will,,TRUE, n
10/25/2022 19:14:23,BLK,,MILK,50%,75%,BOBA,paul,,TRUE,TRUE
10/25/2022 19:15:18,JSMN,,MILK,50%,100%,BOBA,zee,,TRUE,TRUE
10/25/2022 19:16:04,TARO,,MILK,50%,75%,BOBA,kenneth ,,TRUE,TRUE
10/25/2022 19:16:38,TARO,,MILK,50%,50%,LYCHEE,claire ,,TRUE,TRUE
10/25/2022 19:17:32,OLNG,PCH,,0%,100%,BOBA,kayla,,TRUE,TRUE
10/25/2022 19:18:05,THAI,,MILK,0%,75%,BOBA,thira,,TRUE,TRUE
10/25/2022 19:18:46,THAI,,MILK,0%,100%,BOBA,shaun ,,TRUE,TRUE
10/25/2022 19:20:10,OLNG,"HNY, PCH",,50%,50%,LYCHEE,emrys,,TRUE,TRUE
10/25/2022 19:22:45,THAI,,MILK,25%,50%,BOBA,brown sugar - teo ,,TRUE,TRUE
10/25/2022 19:26:57,JSMN,"LYCH, MNGO",,50%,100%,BOBA,michelle,,TRUE,TRUE
10/25/2022 19:27:59,TARO,,Oat,50%,50%,BOBA,michelle 2,,TRUE,TRUE
10/25/2022 19:28:57,SPECIAL,,,100%,50%,BOBA,emily ,,TRUE,TRUE
10/25/2022 19:30:43,JSMN,"KQ, LYCH",,50%,50%,BOBA,deanna ,,TRUE,TRUE
10/25/2022 19:31:23,BLK,ROSE,MILK,25%,75%,BOBA,ash 1 ,,TRUE,TRUE
10/25/2022 19:32:03,JSMN,"MNGO, PSNFRT",,100%,100%,"LYCHEE, POPPIN",ash 2,,TRUE,TRUE
10/25/2022 19:33:30,OLNG,PSNFRT,,25%,25%,BOBA,golda,,TRUE,TRUE
10/25/2022 19:34:18,BLK,PSNFRT,,50%,100%,BOBA,paul ,,TRUE,TRUE
10/25/2022 19:35:20,THAI,,MILK,25%,75%,BOBA,jada ,,TRUE,TRUE
10/25/2022 19:36:01,BSL,,MILK,,,BOBA,devlin,,TRUE,TRUE
10/25/2022 19:36:28,SPECIAL,,,,,BOBA,liam 1,,TRUE,TRUE
10/25/2022 19:36:36,SPECIAL,,,,,BOBA,liam 2 ,,TRUE,TRUE
10/25/2022 19:37:23,JSMN,"LYCH, MNGO",,25%,100%,LYCHEE,mars,,TRUE,TRUE
10/25/2022 19:38:23,JSMN,"KQ, LYCH",,25%,75%,"BOBA, LYCHEE",danny ,,TRUE,TRUE
10/25/2022 19:39:08,JSMN,"MNGO, PSNFRT",,25%,75%,,anaya ,,TRUE,TRUE
10/25/2022 19:40:30,JSMN,"MNGO, PSNFRT",,25%,50%,POPPIN,kim,,TRUE,TRUE
10/25/2022 19:41:44,TARO,,Oat,0%,50%,BOBA,lavi ,,TRUE,TRUE
10/25/2022 19:42:46,BSL,,Oat,,,BOBA,avan ,,TRUE,TRUE
10/25/2022 19:43:28,THAI,,MILK,25%,100%,BOBA,leina ,,TRUE,TRUE
10/25/2022 19:44:23,DTYMTCH,,MILK,,,BOBA,leo,,TRUE,TRUE
10/25/2022 19:45:03,THAI,,MILK,50%,100%,BOBA,rez,,TRUE,TRUE
10/25/2022 19:46:04,BLK,ROSE,MILK,25%,75%,BOBA,leonardo,,TRUE,TRUE
10/25/2022 19:46:36,BLK,,MILK,25%,50%,BOBA,ahmed ,,TRUE,TRUE
10/25/2022 19:47:42,BLK,,MILK,50%,50%,BOBA,silver,,TRUE,TRUE
10/25/2022 19:49:40,BLK,ROSE,MILK,50%,50%,BOBA,katie ,,TRUE,TRUE
10/25/2022 19:50:20,OLNG,,MILK,25%,25%,BOBA,ella ,,TRUE,TRUE
10/25/2022 19:51:27,JSMN,PCH,,50%,50%,LYCHEE,megan 1,,TRUE,TRUE
10/25/2022 19:52:03,OLNG,,MILK,25%,25%,BOBA,max,,TRUE,TRUE
10/25/2022 19:53:27,SPECIAL,,,50%,75%,BOBA,emily ,,TRUE,TRUE
10/25/2022 19:54:14,OLNG,PCH,,75%,50%,LYCHEE,summer,,TRUE,TRUE
10/25/2022 19:55:24,BSL,,MILK,,,BOBA,rom1,,TRUE,TRUE
10/25/2022 19:55:45,SPECIAL,,,,,LYCHEE,rom 2,,TRUE,TRUE
10/25/2022 19:56:46,MTCH,,MILK,,,,extra matcha - han ,,TRUE,TRUE
10/25/2022 19:58:13,JSMN,,MILK,25%,75%,BOBA,tayrn ,,TRUE,TRUE
10/25/2022 19:58:57,OLNG,PCH,,25%,50%,BOBA,evelyn ,,TRUE,TRUE
10/25/2022 19:59:53,BLK,LYCH,,25%,100%,BOBA,allan 1,,TRUE,TRUE
10/25/2022 20:00:17,DTYMTCH,,MILK,,,BOBA,allan 2,,TRUE,TRUE
10/25/2022 20:01:10,TARO,,MILK,100%,100%,BOBA,maddie ,,TRUE,TRUE
10/25/2022 20:01:57,OLNG,LYCH,,50%,50%,BOBA,sarah,,TRUE,TRUE
10/25/2022 20:03:20,BLK,ROSE,MILK,0%,100%,BOBA,extra boba khairat ,,TRUE,TRUE
